100	1	     0.001
100	2	     0.012
100	3	     0.026
100	4	     0.038
100	5	     0.055

200	1	     0.012
200	2	     0.053
200	3	     0.103
200	4	     0.171
200	5	     0.249

300	1	     0.038
300	2	     0.141
300	3	     0.263
300	4	     0.485
300	5	     0.782

400	1	     0.076
400	2	     0.265
400	3	     0.632
400	4	     1.380
400	5	     2.139

500	1	     0.121
500	2	     0.479
500	3	     1.514
500	4	     2.761
500	5	     3.870

600	1	     0.184
600	2	     0.864
600	3	     2.887
600	4	     4.687
600	5	     6.288

700	1	     0.258
700	2	     1.664
700	3	     4.451
700	4	     6.960
700	5	     8.787

800	1	     0.359
800	2	     2.703
800	3	     6.213
800	4	     9.536
800	5	    11.649

900	1	     0.497
900	2	     4.013
900	3	     8.780
900	4	    12.100
900	5	    15.378

1000	1	     0.660
1000	2	     5.598
1000	3	    11.079
1000	4	    15.749
1000	5	    19.063

