100	1	     0.005
100	2	     0.011
100	3	     0.022
100	4	     0.039
100	5	     0.047

200	1	     0.020
200	2	     0.056
200	3	     0.107
200	4	     0.169
200	5	     0.250

300	1	     0.039
300	2	     0.143
300	3	     0.273
300	4	     0.489
300	5	     0.759

400	1	     0.075
400	2	     0.260
400	3	     0.617
400	4	     1.295
400	5	     2.048

500	1	     0.116
500	2	     0.478
500	3	     1.485
500	4	     2.879
500	5	     3.902

600	1	     0.180
600	2	     0.938
600	3	     2.682
600	4	     4.746
600	5	     6.212

700	1	     0.253
700	2	     1.517
700	3	     4.517
700	4	     6.847
700	5	     8.740

800	1	     0.365
800	2	     2.799
800	3	     6.636
800	4	     9.541
800	5	    11.618

900	1	     0.487
900	2	     4.052
900	3	     8.809
900	4	    12.417
900	5	    15.102

1000	1	     0.664
1000	2	     5.682
1000	3	    11.688
1000	4	    15.454
1000	5	    18.728

