100	1	     0.003
100	2	     0.013
100	3	     0.026
100	4	     0.036
100	5	     0.054

200	1	     0.020
200	2	     0.051
200	3	     0.114
200	4	     0.169
200	5	     0.243

300	1	     0.037
300	2	     0.146
300	3	     0.272
300	4	     0.469
300	5	     0.738

400	1	     0.072
400	2	     0.268
400	3	     0.607
400	4	     1.314
400	5	     2.100

500	1	     0.117
500	2	     0.485
500	3	     1.402
500	4	     2.753
500	5	     3.715

600	1	     0.176
600	2	     0.878
600	3	     2.667
600	4	     4.548
600	5	     6.082

700	1	     0.253
700	2	     1.659
700	3	     4.502
700	4	     6.771
700	5	     8.739

800	1	     0.351
800	2	     2.655
800	3	     6.517
800	4	     9.327
800	5	    11.802

900	1	     0.466
900	2	     4.121
900	3	     8.530
900	4	    12.149
900	5	    14.832

1000	1	     0.682
1000	2	     5.287
1000	3	    11.185
1000	4	    15.297
1000	5	    18.233

