100	1	     0.002
100	2	     0.013
100	3	     0.023
100	4	     0.033
100	5	     0.054

200	1	     0.014
200	2	     0.057
200	3	     0.111
200	4	     0.184
200	5	     0.253

300	1	     0.033
300	2	     0.144
300	3	     0.296
300	4	     0.490
300	5	     0.770

400	1	     0.070
400	2	     0.273
400	3	     0.648
400	4	     1.253
400	5	     2.003

500	1	     0.122
500	2	     0.480
500	3	     1.499
500	4	     2.861
500	5	     3.733

600	1	     0.178
600	2	     0.883
600	3	     2.985
600	4	     4.553
600	5	     6.008

700	1	     0.254
700	2	     1.685
700	3	     4.562
700	4	     6.646
700	5	     8.447

800	1	     0.351
800	2	     2.829
800	3	     6.388
800	4	     9.337
800	5	    11.307

900	1	     0.497
900	2	     3.857
900	3	     8.978
900	4	    11.959
900	5	    15.118

1000	1	     0.669
1000	2	     5.950
1000	3	    11.147
1000	4	    15.449
1000	5	    18.206

